"","Job","Job_partner","Household_size","Education","Education_partner","Edu_diff","Dad_Edu","Mum_Edu","Parents_gap","Parents_gap_cat","emp14Father","emp14Mother","emp14Diff","gndr2","gndr3","gndr4","gndr5","gndr6","gndr7","gndr8","gndr9","gndr10","gndr11","gndr12","gndr13","gndr14","gndr15","Gender_share","Approval","Interfere","Female","Immigrant","Age","Age_sq","Domicile","Maritalstatus","Child","Minority","Country","Income","Income_sq","Interviewe_Female","Job_diff","Unemployed","Unemployed_partner","Housework_partner","Employment_partner","Trust","Religiosity","weight","Vignette_gender"
"19977",47,58.45,4,4,6,-2,7,5,2,"Father more",1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0.625,2,0,1,1,54,2916,4,4,3,2,"EE",8,64,0,-11.45,0,0,0,2,7,0,0.0580149333194808,1
"19978",70,62.63,3,6,7,-1,4,5,-1,"Mother more",1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,1,1,58,3364,1,1,2,2,"BG",10,100,1,7.37,0,0,0,1,5,3,0.336815733816623,0
"19979",48.81,NA,2,3,3,0,2,2,0,"Equal",4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,2,0,2,1,71,5041,3,1,2,2,"CH",NA,NA,0,NA,0,0,0,NA,7,6,0.467903696,1
"19980",63.18,63.18,3,4,7,-3,5,5,0,"Equal",1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,2,1,28,784,3,1,NA,2,"CZ",7,49,0,0,0,0,0,1,5,5,0.517624663265778,1
"19981",57,53.89,3,6,6,0,3,6,-3,"Mother more",2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,1,43,1849,1,3,1,2,"NO",6,36,1,3.11,0,0,0,1,7,0,0.309423784881998,1
"19982",30.98,NA,2,4,6,-2,5,2,3,"Father more",1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,2,1,65,4225,1,1,1,2,"RS",3,9,1,NA,0,0,0,NA,5,10,0.264032615959383,0
"19983",54.17,NA,2,4,7,-3,5,4,1,"Father more",1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,2,0,2,1,82,6724,3,1,3,2,"FI",5,25,1,NA,0,0,0,NA,8,8,0.263402051,0
"19984",46,20,2,4,1,3,1,1,0,"Equal",1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,1,1,59,3481,3,1,1,2,"BE",7,49,1,26,0,0,0,1,5,1,0.534258098385304,0
"19985",45.93,46,4,5,3,2,3,5,-2,"Mother more",1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0.625,1,0,1,1,40,1600,2,1,2,2,"AT",NA,NA,0,-0.0700000000000003,0,0,0,1,8,9,0.325998216390799,1
"19986",43.81,47.61,4,6,2,4,2,2,0,"Equal",1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,2,1,55,3025,4,1,2,2,"IT",8,64,0,-3.8,0,0,0,1,6,5,1.66511343851277,0
"19987",42.78,42.78,4,4,4,0,1,1,0,"Equal",1,3,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0.625,1,0,1,1,58,3364,2,1,2,2,"CY",4,16,0,0,0,0,0,1,5,8,0.159329288744177,1
"19988",20,NA,2,2,1,1,1,1,0,"Equal",1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,2,1,72,5184,1,1,1,2,"IT",5,25,1,NA,0,0,0,NA,5,7,2.00461844084146,1
"19989",52,50.09,3,7,3,4,5,6,-1,"Mother more",1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,2,0,1,1,47,2209,4,4,1,2,"CH",10,100,0,1.91,0,0,0,1,9,9,0.467903696,0
"19990",48.86,NA,4,7,4,3,1,2,-1,"Mother more",1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,2,1,40,1600,4,1,2,2,"SI",NA,NA,1,NA,0,0,0,1,7,2,0.133247572,0
"19991",23,33,4,4,3,1,1,1,0,"Equal",1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.375,2,0,2,1,49,2401,4,1,2,2,"FR",NA,NA,0,-10,0,0,0,1,7,5,6.22712165092352,0
"19992",54.05,29,2,5,1,4,1,1,0,"Equal",1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,2,1,46,2116,3,1,3,2,"GB",5,25,1,25.05,0,0,0,1,0,5,2.51466945677532,1
"19993",58,61.15,2,7,7,0,5,5,0,"Equal",1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,2,2,28,784,3,1,NA,2,"IE",5,25,0,-3.15,1,0,0,1,6,7,0.159209099744686,1
"19994",52.72,NA,3,5,3,2,2,1,1,"Father more",2,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,1,59,3481,3,3,1,2,"IT",NA,NA,1,NA,0,0,1,NA,3,5,2.00461844084146,1
"19995",NA,NA,3,2,2,0,1,1,0,"Equal",4,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,3,0,1,1,63,3969,2,1,2,2,"AT",NA,NA,1,NA,0,0,0,NA,5,4,0.537940642083774,0
"19996",23,NA,2,3,3,0,2,2,0,"Equal",1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,2,0,2,1,71,5041,3,1,2,2,"HU",3,9,1,NA,0,0,0,NA,4,4,0.393680412870148,0
